time,init_utc,cycle,basin,mm_6h
2018-12-29T00:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00017036235585641193
2018-12-29T00:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_10_Missouri,0.00021729213459665447
2018-12-29T06:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0015583893758637985
2018-12-29T06:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_10_Missouri,0.00017418787466675796
2018-12-29T12:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00018900700624816457
2018-12-29T12:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_10_Missouri,0.00021156158670818624
2018-12-29T18:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0
2018-12-29T18:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_10_Missouri,4.898390482222277e-05
2018-12-30T00:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_07_UpperMiss,6.312231884548755e-05
2018-12-30T00:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_10_Missouri,0.0005725937162137163
2018-12-30T06:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0002263157257215947
2018-12-30T06:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_10_Missouri,6.195156289334166e-05
2018-12-30T12:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0002373691172875412
2018-12-30T12:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_10_Missouri,0.0001756008579793532
2018-12-30T18:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_07_UpperMiss,9.77976328299845e-05
2018-12-30T18:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_10_Missouri,0.0010572677781151539
2018-12-31T00:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_07_UpperMiss,1.3686061338666054e-05
2018-12-31T00:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_10_Missouri,3.544538267034369e-05
2018-12-31T06:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0006812352106564315
2018-12-31T06:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_10_Missouri,0.0003377338406339005
2018-12-31T12:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00012104541068402439
2018-12-31T12:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_10_Missouri,0.0008968288160648788
2018-12-31T18:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_07_UpperMiss,6.463943335796282e-07
2018-12-31T18:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_10_Missouri,0.0006236848410711777
2019-01-01T00:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_07_UpperMiss,5.704833309913071e-05
2019-01-01T00:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_10_Missouri,0.0007476781116559022
2019-01-01T06:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0003847335912006277
2019-01-01T06:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_10_Missouri,0.0003344899802549011
2019-01-01T12:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00020316683788356097
2019-01-01T12:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_10_Missouri,5.971854085621074e-06
2019-01-01T18:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0009549615275613085
2019-01-01T18:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_10_Missouri,0.0006989646481373866
2019-01-02T00:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0012432079767683607
2019-01-02T00:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_10_Missouri,0.0014945533258375434
2019-01-02T06:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0007653020310377637
2019-01-02T06:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_10_Missouri,0.0010015239803713855
2019-01-02T12:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00025064589496708007
2019-01-02T12:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_10_Missouri,0.0003106146101901558
2019-01-02T18:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_07_UpperMiss,3.2034371054940936e-05
2019-01-02T18:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_10_Missouri,0.0
2019-01-03T00:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_07_UpperMiss,5.4058773977540646e-06
2019-01-03T00:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_10_Missouri,2.1534986650519123e-05
2019-01-03T06:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0017767304173529027
2019-01-03T06:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_10_Missouri,0.0002933045237233041
2019-01-03T12:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00022433819814521235
2019-01-03T12:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_10_Missouri,0.000137882036114222
2019-01-03T18:00:00+00:00,2018-12-05T18:00:00+00:00,18,HUC2_07_UpperMiss,6.12601699585588e-05
2019-01-03T18:00:00+00:00,2018-12-05T18:00:00+00:00,18,HUC2_10_Missouri,2.0725940648469126e-05
2019-01-04T00:00:00+00:00,2018-12-06T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00011527991443304703
2019-01-04T00:00:00+00:00,2018-12-06T00:00:00+00:00,00,HUC2_10_Missouri,0.00039988403154355676
2019-01-04T06:00:00+00:00,2018-12-06T06:00:00+00:00,06,HUC2_07_UpperMiss,2.7745713750234442e-05
2019-01-04T06:00:00+00:00,2018-12-06T06:00:00+00:00,06,HUC2_10_Missouri,8.933736344116998e-06
2019-01-04T12:00:00+00:00,2018-12-06T12:00:00+00:00,12,HUC2_07_UpperMiss,0.000693420848744015
2019-01-04T12:00:00+00:00,2018-12-06T12:00:00+00:00,12,HUC2_10_Missouri,0.0010038614187669265
2019-01-04T18:00:00+00:00,2018-12-06T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0015147970123297494
2019-01-04T18:00:00+00:00,2018-12-06T18:00:00+00:00,18,HUC2_10_Missouri,0.001736825186764116
2019-01-05T00:00:00+00:00,2018-12-07T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00030744168500891253
2019-01-05T00:00:00+00:00,2018-12-07T00:00:00+00:00,00,HUC2_10_Missouri,6.991291730179665e-05
2019-01-05T06:00:00+00:00,2018-12-07T06:00:00+00:00,06,HUC2_07_UpperMiss,1.596020232024432e-05
2019-01-05T06:00:00+00:00,2018-12-07T06:00:00+00:00,06,HUC2_10_Missouri,5.55516133636126e-05
2019-01-05T12:00:00+00:00,2018-12-07T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00015564733987947504
2019-01-05T12:00:00+00:00,2018-12-07T12:00:00+00:00,12,HUC2_10_Missouri,0.001974897337408504
2019-01-05T18:00:00+00:00,2018-12-07T18:00:00+00:00,18,HUC2_07_UpperMiss,1.598107561248786e-05
2019-01-05T18:00:00+00:00,2018-12-07T18:00:00+00:00,18,HUC2_10_Missouri,0.0016054254572342714
2019-01-06T00:00:00+00:00,2018-12-08T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0002192355265078911
2019-01-06T00:00:00+00:00,2018-12-08T00:00:00+00:00,00,HUC2_10_Missouri,8.080463800397386e-05
2019-01-06T06:00:00+00:00,2018-12-08T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0003550980869307345
2019-01-06T06:00:00+00:00,2018-12-08T06:00:00+00:00,06,HUC2_10_Missouri,0.0003693523572028911
2019-01-06T12:00:00+00:00,2018-12-08T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00017550716399380637
2019-01-06T12:00:00+00:00,2018-12-08T12:00:00+00:00,12,HUC2_10_Missouri,3.755383990790658e-05
2019-01-06T18:00:00+00:00,2018-12-08T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0006341753545147014
2019-01-06T18:00:00+00:00,2018-12-08T18:00:00+00:00,18,HUC2_10_Missouri,0.000648388925752925
2019-01-07T00:00:00+00:00,2018-12-09T00:00:00+00:00,00,HUC2_07_UpperMiss,1.2944600258900424e-05
2019-01-07T00:00:00+00:00,2018-12-09T00:00:00+00:00,00,HUC2_10_Missouri,0.00015806758378718585
2019-01-07T06:00:00+00:00,2018-12-09T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0010441099902684485
2019-01-07T06:00:00+00:00,2018-12-09T06:00:00+00:00,06,HUC2_10_Missouri,0.000699197811613445
2019-01-07T12:00:00+00:00,2018-12-09T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00012041316064003348
2019-01-07T12:00:00+00:00,2018-12-09T12:00:00+00:00,12,HUC2_10_Missouri,0.0005084115241989292
2019-01-07T18:00:00+00:00,2018-12-09T18:00:00+00:00,18,HUC2_07_UpperMiss,6.353350425673334e-07
2019-01-07T18:00:00+00:00,2018-12-09T18:00:00+00:00,18,HUC2_10_Missouri,0.0014910073732610429
2019-01-08T00:00:00+00:00,2018-12-10T00:00:00+00:00,00,HUC2_07_UpperMiss,2.643545924536971e-05
2019-01-08T00:00:00+00:00,2018-12-10T00:00:00+00:00,00,HUC2_10_Missouri,9.857992087987665e-05
2019-01-08T06:00:00+00:00,2018-12-10T06:00:00+00:00,06,HUC2_07_UpperMiss,2.9935156063692016e-05
2019-01-08T06:00:00+00:00,2018-12-10T06:00:00+00:00,06,HUC2_10_Missouri,3.5936251983531334e-07
2019-01-08T12:00:00+00:00,2018-12-10T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0001208518125323857
2019-01-08T12:00:00+00:00,2018-12-10T12:00:00+00:00,12,HUC2_10_Missouri,0.0006390057001363124
2019-01-08T18:00:00+00:00,2018-12-10T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00023197111007883673
2019-01-08T18:00:00+00:00,2018-12-10T18:00:00+00:00,18,HUC2_10_Missouri,9.885757911175472e-05
2019-01-09T00:00:00+00:00,2018-12-11T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00018839695679613713
2019-01-09T00:00:00+00:00,2018-12-11T00:00:00+00:00,00,HUC2_10_Missouri,0.0005632031309950777
2019-01-09T06:00:00+00:00,2018-12-11T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00012398770158511156
2019-01-09T06:00:00+00:00,2018-12-11T06:00:00+00:00,06,HUC2_10_Missouri,4.914501979157069e-05
2019-01-09T12:00:00+00:00,2018-12-11T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0005488021849630564
2019-01-09T12:00:00+00:00,2018-12-11T12:00:00+00:00,12,HUC2_10_Missouri,0.001142089842857251
2019-01-09T18:00:00+00:00,2018-12-11T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0001154767551243072
2019-01-09T18:00:00+00:00,2018-12-11T18:00:00+00:00,18,HUC2_10_Missouri,9.247407158049326e-06
2019-01-10T00:00:00+00:00,2018-12-12T00:00:00+00:00,00,HUC2_07_UpperMiss,8.6021245179863e-05
2019-01-10T00:00:00+00:00,2018-12-12T00:00:00+00:00,00,HUC2_10_Missouri,0.001246180253050624
2019-01-10T06:00:00+00:00,2018-12-12T06:00:00+00:00,06,HUC2_07_UpperMiss,1.8338765914124136e-05
2019-01-10T06:00:00+00:00,2018-12-12T06:00:00+00:00,06,HUC2_10_Missouri,0.0006636191658460125
2019-01-10T12:00:00+00:00,2018-12-12T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0002264371289224497
2019-01-10T12:00:00+00:00,2018-12-12T12:00:00+00:00,12,HUC2_10_Missouri,0.0007713471097864883
2019-01-10T18:00:00+00:00,2018-12-12T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0001132741164266844
2019-01-10T18:00:00+00:00,2018-12-12T18:00:00+00:00,18,HUC2_10_Missouri,0.0006597953532238421
2019-01-11T00:00:00+00:00,2018-12-13T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0004880402743496477
2019-01-11T00:00:00+00:00,2018-12-13T00:00:00+00:00,00,HUC2_10_Missouri,0.00036569171863728804
2019-01-11T06:00:00+00:00,2018-12-13T06:00:00+00:00,06,HUC2_07_UpperMiss,2.6882878659403372e-05
2019-01-11T06:00:00+00:00,2018-12-13T06:00:00+00:00,06,HUC2_10_Missouri,0.0003176753807664229
2019-01-11T12:00:00+00:00,2018-12-13T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00043201616183415585
2019-01-11T12:00:00+00:00,2018-12-13T12:00:00+00:00,12,HUC2_10_Missouri,0.00016862541757537794
2019-01-11T18:00:00+00:00,2018-12-13T18:00:00+00:00,18,HUC2_07_UpperMiss,2.957188714352584e-05
2019-01-11T18:00:00+00:00,2018-12-13T18:00:00+00:00,18,HUC2_10_Missouri,3.257320885189597e-05
2019-01-12T00:00:00+00:00,2018-12-14T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0009357547605027246
2019-01-12T00:00:00+00:00,2018-12-14T00:00:00+00:00,00,HUC2_10_Missouri,0.0005261168413544007
2019-01-12T06:00:00+00:00,2018-12-14T06:00:00+00:00,06,HUC2_07_UpperMiss,6.418438086164275e-05
2019-01-12T06:00:00+00:00,2018-12-14T06:00:00+00:00,06,HUC2_10_Missouri,4.5250715590632616e-05
