time,init_utc,cycle,basin,mm_6h
2018-12-21T00:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0021641677839306403
2018-12-21T00:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_10_Missouri,0.002739909766011614
2018-12-21T06:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00043345846914819995
2018-12-21T06:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_10_Missouri,0.0005315980924635001
2018-12-21T12:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00023703582977141097
2018-12-21T12:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_10_Missouri,0.0029656421463444046
2018-12-21T18:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0034446585881720737
2018-12-21T18:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_10_Missouri,0.0013017731359207117
2018-12-22T00:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_07_UpperMiss,0.002968423491679036
2018-12-22T00:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_10_Missouri,0.0009248541961241575
2018-12-22T06:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0005902398405905892
2018-12-22T06:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_10_Missouri,0.00012255311714844358
2018-12-22T12:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_07_UpperMiss,0.000635571148778072
2018-12-22T12:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_10_Missouri,0.0001577288724552909
2018-12-22T18:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_07_UpperMiss,0.001213035717196686
2018-12-22T18:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_10_Missouri,0.003224206683438774
2018-12-23T00:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0002556084259320945
2018-12-23T00:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_10_Missouri,0.0002228236662765036
2018-12-23T06:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_07_UpperMiss,4.892645347837284e-05
2018-12-23T06:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_10_Missouri,0.0013600131712543384
2018-12-23T12:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_07_UpperMiss,2.845439524163242e-05
2018-12-23T12:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_10_Missouri,0.0005911145543776626
2018-12-23T18:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0010324814673903142
2018-12-23T18:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_10_Missouri,0.0009165307933774223
2018-12-24T00:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00012498304989486318
