time,init_utc,cycle,basin,mm_6h
2018-12-14T12:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00013131896142593879
2018-12-14T12:00:00+00:00,2018-11-30T00:00:00+00:00,00,HUC2_10_Missouri,0.0012254506654915853
2018-12-14T18:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0011056888999598094
2018-12-14T18:00:00+00:00,2018-11-30T06:00:00+00:00,06,HUC2_10_Missouri,0.0003656433543776216
2018-12-15T00:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00037207180007840085
2018-12-15T00:00:00+00:00,2018-11-30T12:00:00+00:00,12,HUC2_10_Missouri,0.00265068249652365
2018-12-15T06:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_07_UpperMiss,9.873936893809868e-05
2018-12-15T06:00:00+00:00,2018-11-30T18:00:00+00:00,18,HUC2_10_Missouri,2.6176231030650805e-05
2018-12-15T12:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0006276466199252426
2018-12-15T12:00:00+00:00,2018-12-01T00:00:00+00:00,00,HUC2_10_Missouri,0.0005097916064074499
2018-12-15T18:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0003074335155242276
2018-12-15T18:00:00+00:00,2018-12-01T06:00:00+00:00,06,HUC2_10_Missouri,0.0018116329100395909
2018-12-16T00:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0020161192501421147
2018-12-16T00:00:00+00:00,2018-12-01T12:00:00+00:00,12,HUC2_10_Missouri,0.0006122641503351319
2018-12-16T06:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00015344683918707094
2018-12-16T06:00:00+00:00,2018-12-01T18:00:00+00:00,18,HUC2_10_Missouri,0.0005501192627275325
2018-12-16T12:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_07_UpperMiss,5.345191283730088e-05
2018-12-16T12:00:00+00:00,2018-12-02T00:00:00+00:00,00,HUC2_10_Missouri,0.0007533631822251825
2018-12-16T18:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_07_UpperMiss,0.00038252406854368687
2018-12-16T18:00:00+00:00,2018-12-02T06:00:00+00:00,06,HUC2_10_Missouri,0.0005610685775242833
2018-12-17T00:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_07_UpperMiss,0.00011677315936435178
2018-12-17T00:00:00+00:00,2018-12-02T12:00:00+00:00,12,HUC2_10_Missouri,0.0017373705187320614
2018-12-17T06:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0017582067452371736
2018-12-17T06:00:00+00:00,2018-12-02T18:00:00+00:00,18,HUC2_10_Missouri,0.0009347537910322228
2018-12-17T12:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_07_UpperMiss,0.0006570448324484896
2018-12-17T12:00:00+00:00,2018-12-03T00:00:00+00:00,00,HUC2_10_Missouri,0.0013908587696229463
2018-12-17T18:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_07_UpperMiss,0.001666190179094469
2018-12-17T18:00:00+00:00,2018-12-03T06:00:00+00:00,06,HUC2_10_Missouri,0.0007868174673370939
2018-12-18T00:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_07_UpperMiss,0.000149480726608581
2018-12-18T00:00:00+00:00,2018-12-03T12:00:00+00:00,12,HUC2_10_Missouri,3.115828998177632e-05
2018-12-18T06:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_07_UpperMiss,0.0018725946954522333
2018-12-18T06:00:00+00:00,2018-12-03T18:00:00+00:00,18,HUC2_10_Missouri,0.0003484390588001734
2018-12-18T12:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_07_UpperMiss,3.961572540837139e-05
2018-12-18T12:00:00+00:00,2018-12-04T00:00:00+00:00,00,HUC2_10_Missouri,5.719215700347182e-05
2018-12-18T18:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_07_UpperMiss,3.611747840957882e-05
2018-12-18T18:00:00+00:00,2018-12-04T06:00:00+00:00,06,HUC2_10_Missouri,1.5928337307740187e-06
2018-12-19T00:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_07_UpperMiss,3.130622873962519e-05
2018-12-19T00:00:00+00:00,2018-12-04T12:00:00+00:00,12,HUC2_10_Missouri,0.00015273891783888562
2018-12-19T06:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_07_UpperMiss,0.00023484724654570963
2018-12-19T06:00:00+00:00,2018-12-04T18:00:00+00:00,18,HUC2_10_Missouri,0.0003379482429222415
2018-12-19T12:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_07_UpperMiss,2.1110528039102548e-05
2018-12-19T12:00:00+00:00,2018-12-05T00:00:00+00:00,00,HUC2_10_Missouri,0.0002657435081515437
2018-12-19T18:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_07_UpperMiss,0.0009784265509067715
2018-12-19T18:00:00+00:00,2018-12-05T06:00:00+00:00,06,HUC2_10_Missouri,0.002032145279049709
2018-12-20T00:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_07_UpperMiss,0.0006417169760377773
2018-12-20T00:00:00+00:00,2018-12-05T12:00:00+00:00,12,HUC2_10_Missouri,0.0007498807870408178
2018-12-20T06:00:00+00:00,2018-12-05T18:00:00+00:00,18,HUC2_07_UpperMiss,8.263891768161276e-05
2018-12-20T06:00:00+00:00,2018-12-05T18:00:00+00:00,18,HUC2_10_Missouri,0.001219118292865401
2018-12-20T12:00:00+00:00,2018-12-06T00:00:00+00:00,00,HUC2_07_UpperMiss,0.00018598117254381126
